video_id,start_sec,p_yes,p_yes_repeat,deterministic,top_token,yes_no_mass,sec
Stealing087,113.6,0.20198744535446167,0.20198744535446167,True,no,0.9999,4.57
Stealing097,26.4,0.00010899591870838776,0.00010899591870838776,True,no,1.0,2.19
Shoplifting025,35.5,0.5927732586860657,0.5927732586860657,True,yes,0.9999,2.18
Stealing048,114.8,0.3487626314163208,0.3487626314163208,True,no,0.9999,2.23
23_1,13.1,0.01592540740966797,0.01592540740966797,True,no,0.9999,7.93
21_1,56.8,0.1825498789548874,0.1825498789548874,True,no,0.9999,7.72
Stealing093,19.6,0.020360376685857773,0.020360376685857773,True,no,1.0,2.22
Stealing061,65.0,0.014077016152441502,0.014077016152441502,True,no,1.0,2.22
Stealing113,42.2,0.011000671423971653,0.011000671423971653,True,no,1.0,2.22
Stealing078,36.8,0.4382513761520386,0.4382513761520386,True,no,0.9999,2.22
Stealing030,16.7,0.03735380619764328,0.03735380619764328,True,no,1.0,2.26
22_3,34.2,0.029332425445318222,0.029332425445318222,True,no,1.0,7.72
Stealing009,36.1,0.011001672595739365,0.011001672595739365,True,no,1.0,2.21
Stealing054,43.9,0.004613925702869892,0.004613925702869892,True,no,1.0,2.22
Shoplifting051,3.3,6.616997416131198e-05,6.616997416131198e-05,True,no,1.0,2.22
Stealing046,240.8,0.0001160859246738255,0.0001160859246738255,True,no,1.0,2.21
25_1,54.2,0.023002399131655693,0.023002399131655693,True,no,0.9999,7.73
Stealing011,94.8,0.20198123157024384,0.20198123157024384,True,no,0.9999,2.23
Stealing065,116.2,0.00026155487284995615,0.00026155487284995615,True,no,1.0,2.2
Shoplifting052,0.3,0.008592096157371998,0.008592096157371998,True,no,1.0,2.23
