video_id,start_sec,p_yes,p_yes_repeat,deterministic,top_token,sec
Stealing087,113.6,0.5405824780464172,0.5405824780464172,True,<|begin_of_box|>,4.52
Stealing097,26.4,0.0026262751780450344,0.0026262751780450344,True,<|begin_of_box|>,2.2
Shoplifting025,35.5,0.8892037868499756,0.8892037868499756,True,<|begin_of_box|>,2.19
Stealing048,114.8,0.8780698776245117,0.8780698776245117,True,<|begin_of_box|>,2.2
23_1,13.1,0.033556412905454636,0.033556412905454636,True,<|begin_of_box|>,8.14
21_1,56.8,0.6873066425323486,0.6873066425323486,True,<|begin_of_box|>,7.72
Stealing093,19.6,0.01488312054425478,0.01488312054425478,True,<|begin_of_box|>,2.2
Stealing061,65.0,0.008866270072758198,0.008866270072758198,True,<|begin_of_box|>,2.19
Stealing113,42.2,0.00712675740942359,0.00712675740942359,True,<|begin_of_box|>,2.34
Stealing078,36.8,0.8591094017028809,0.8591094017028809,True,<|begin_of_box|>,2.19
Stealing030,16.7,0.02739306353032589,0.02739306353032589,True,<|begin_of_box|>,2.2
22_3,34.2,0.022040177136659622,0.022040177136659622,True,<|begin_of_box|>,7.76
Stealing009,36.1,0.01091810967773199,0.01091810967773199,True,<|begin_of_box|>,2.22
Stealing054,43.9,0.003931192681193352,0.003931192681193352,True,<|begin_of_box|>,2.26
Shoplifting051,3.3,0.001492667361162603,0.001492667361162603,True,<|begin_of_box|>,2.22
Stealing046,240.8,0.0016073741717264056,0.0016073741717264056,True,<|begin_of_box|>,2.2
25_1,54.2,0.04452724754810333,0.04452724754810333,True,<|begin_of_box|>,7.73
Stealing011,94.8,0.6269667744636536,0.6269667744636536,True,<|begin_of_box|>,2.21
Stealing065,116.2,0.0029816448222845793,0.0029816448222845793,True,<|begin_of_box|>,2.21
Shoplifting052,0.3,0.01104299072176218,0.01104299072176218,True,<|begin_of_box|>,2.21
