video_id,start_sec,p_yes,p_yes_repeat,deterministic,top_token,input_tokens,sec
Normal_Videos031_x264,63.1,0.042179860174655914,0.042179860174655914,True,no,763,56.01
Normal_Videos037_x264,1.5,0.029761450365185738,0.029761450365185738,True,no,763,0.34
Shoplifting013_x264,53.1,0.02628324367105961,0.02628324367105961,True,no,763,0.32
Normal_Videos007_x264,23.4,0.026222437620162964,0.026222437620162964,True,no,763,0.33
Normal_Videos049_x264,141.1,0.007640604395419359,0.007640604395419359,True,no,763,0.26
Normal_Videos035_x264,545.8,0.009769878350198269,0.009769878350198269,True,no,763,0.33
Normal_Videos044_x264,23.2,0.03825155273079872,0.03825155273079872,True,no,763,0.31
Normal_Videos032_x264,13.9,0.029430463910102844,0.029430463910102844,True,no,763,0.35
Normal_Videos057_x264,105.5,0.011049075052142143,0.011049075052142143,True,no,763,0.32
Shoplifting043_x264,210.9,0.043106552213430405,0.043106552213430405,True,no,763,0.32
Normal_Videos002_x264,21.9,0.023054156452417374,0.023054156452417374,True,no,763,0.26
Shoplifting048_x264,9.5,0.18619008362293243,0.18619008362293243,True,no,763,0.37
Normal_Videos012_x264,30.0,0.007590027526021004,0.007590027526021004,True,no,763,0.24
Shoplifting032_x264,23.6,0.03817916661500931,0.03817916661500931,True,no,763,0.28
Normal_Videos005_x264,3.5,0.008610576391220093,0.008610576391220093,True,no,763,0.33
Shoplifting019_x264,12.5,0.5322144627571106,0.5322144627571106,True, yes,763,0.24
Shoplifting042_x264,77.1,0.09668013453483582,0.09668013453483582,True,no,763,0.32
Normal_Videos046_x264,770.5,0.023429619148373604,0.023429619148373604,True,no,763,0.36
Normal_Videos030_x264,36.1,0.004113826900720596,0.004113826900720596,True,no,763,0.45
Shoplifting014_x264,1782.5,0.04251397028565407,0.04251397028565407,True,no,763,0.27
