video_id,start_sec,rank,zeroshot_p_yes,sheet
Shoplifting003_x264,16.0,1,0.1218,Shoplifting003_x264_00016.jpg
Shoplifting003_x264,28.0,2,0.1091,Shoplifting003_x264_00028.jpg
Shoplifting003_x264,336.0,3,0.0984,Shoplifting003_x264_00336.jpg
Shoplifting006_x264,8.0,1,0.2081,Shoplifting006_x264_00008.jpg
Shoplifting006_x264,52.0,2,0.1695,Shoplifting006_x264_00052.jpg
Shoplifting006_x264,80.0,3,0.1515,Shoplifting006_x264_00080.jpg
Shoplifting008_x264,228.0,1,0.0143,Shoplifting008_x264_00228.jpg
Shoplifting008_x264,272.0,2,0.0125,Shoplifting008_x264_00272.jpg
Shoplifting008_x264,76.0,3,0.0087,Shoplifting008_x264_00076.jpg
Shoplifting009_x264,20.0,1,0.0858,Shoplifting009_x264_00020.jpg
Shoplifting009_x264,36.0,2,0.054,Shoplifting009_x264_00036.jpg
Shoplifting009_x264,52.0,3,0.0481,Shoplifting009_x264_00052.jpg
Shoplifting012_x264,104.0,1,0.0681,Shoplifting012_x264_00104.jpg
Shoplifting012_x264,400.0,2,0.0606,Shoplifting012_x264_00400.jpg
Shoplifting012_x264,568.0,3,0.0606,Shoplifting012_x264_00568.jpg
Shoplifting013_x264,36.0,1,0.087,Shoplifting013_x264_00036.jpg
Shoplifting013_x264,48.0,2,0.0769,Shoplifting013_x264_00048.jpg
Shoplifting013_x264,24.0,3,0.0609,Shoplifting013_x264_00024.jpg
Shoplifting018_x264,28.0,1,0.275,Shoplifting018_x264_00028.jpg
Shoplifting018_x264,40.0,2,0.2743,Shoplifting018_x264_00040.jpg
Shoplifting018_x264,52.0,3,0.1353,Shoplifting018_x264_00052.jpg
Shoplifting019_x264,4.0,1,0.666,Shoplifting019_x264_00004.jpg
Shoplifting019_x264,12.0,2,0.2955,Shoplifting019_x264_00012.jpg
Shoplifting024_x264,24.0,1,0.0376,Shoplifting024_x264_00024.jpg
Shoplifting024_x264,16.0,2,0.0303,Shoplifting024_x264_00016.jpg
Shoplifting024_x264,8.0,3,0.0275,Shoplifting024_x264_00008.jpg
Shoplifting026_x264,36.0,1,0.068,Shoplifting026_x264_00036.jpg
Shoplifting026_x264,4.0,2,0.05,Shoplifting026_x264_00004.jpg
Shoplifting026_x264,16.0,3,0.0442,Shoplifting026_x264_00016.jpg
Shoplifting036_x264,84.0,1,0.3115,Shoplifting036_x264_00084.jpg
Shoplifting036_x264,104.0,2,0.2774,Shoplifting036_x264_00104.jpg
Shoplifting036_x264,24.0,3,0.2511,Shoplifting036_x264_00024.jpg
Shoplifting040_x264,64.0,1,0.3271,Shoplifting040_x264_00064.jpg
Shoplifting040_x264,4.0,2,0.275,Shoplifting040_x264_00004.jpg
Shoplifting040_x264,880.0,3,0.2708,Shoplifting040_x264_00880.jpg
Shoplifting041_x264,304.0,1,0.0865,Shoplifting041_x264_00304.jpg
Shoplifting041_x264,32.0,2,0.0537,Shoplifting041_x264_00032.jpg
Shoplifting041_x264,124.0,3,0.0476,Shoplifting041_x264_00124.jpg
Shoplifting043_x264,236.0,1,0.2574,Shoplifting043_x264_00236.jpg
Shoplifting043_x264,164.0,2,0.24,Shoplifting043_x264_00164.jpg
Shoplifting043_x264,28.0,3,0.2119,Shoplifting043_x264_00028.jpg
Shoplifting045_x264,12.0,1,0.1198,Shoplifting045_x264_00012.jpg
Shoplifting045_x264,28.0,2,0.11,Shoplifting045_x264_00028.jpg
Shoplifting045_x264,40.0,3,0.1089,Shoplifting045_x264_00040.jpg
Shoplifting048_x264,28.0,1,0.3584,Shoplifting048_x264_00028.jpg
Shoplifting048_x264,44.0,2,0.2982,Shoplifting048_x264_00044.jpg
Shoplifting048_x264,4.0,3,0.2117,Shoplifting048_x264_00004.jpg
Shoplifting050_x264,56.0,1,0.1708,Shoplifting050_x264_00056.jpg
Shoplifting050_x264,64.0,2,0.1553,Shoplifting050_x264_00064.jpg
Shoplifting050_x264,0.0,3,0.1444,Shoplifting050_x264_00000.jpg
Shoplifting051_x264,124.0,1,0.0429,Shoplifting051_x264_00124.jpg
Shoplifting051_x264,56.0,2,0.0261,Shoplifting051_x264_00056.jpg
Shoplifting051_x264,16.0,3,0.0205,Shoplifting051_x264_00016.jpg
Shoplifting052_x264,84.0,1,0.444,Shoplifting052_x264_00084.jpg
Shoplifting052_x264,28.0,2,0.3278,Shoplifting052_x264_00028.jpg
Shoplifting052_x264,128.0,3,0.2362,Shoplifting052_x264_00128.jpg
Shoplifting053_x264,4.0,1,0.1491,Shoplifting053_x264_00004.jpg
Shoplifting053_x264,32.0,2,0.0961,Shoplifting053_x264_00032.jpg
Shoplifting053_x264,24.0,3,0.0857,Shoplifting053_x264_00024.jpg
Shoplifting054_x264,12.0,1,0.0963,Shoplifting054_x264_00012.jpg
Shoplifting054_x264,20.0,2,0.0764,Shoplifting054_x264_00020.jpg
Shoplifting054_x264,0.0,3,0.0335,Shoplifting054_x264_00000.jpg
