video_id,reason
Normal_Videos013_x264,shares frames/scene with test video(s): Normal_Videos_015_x264 (0.188)
Normal_Videos017_x264,shares frames/scene with test video(s): Normal_Videos_175_x264 (0.069)
Normal_Videos020_x264,shares frames/scene with test video(s): Shoplifting028_x264 (0.059)
Shoplifting014_x264,shares frames/scene with test video(s): Normal_Videos_042_x264 (0.094)
Shoplifting030_x264,shares frames/scene with test video(s): Shoplifting028_x264 (0.261); Shoplifting029_x264 (0.164)
Shoplifting038_x264,shares frames/scene with test video(s): Normal_Videos_597_x264 (0.187)
Shoplifting012_x264,no agreed theft time
Shoplifting013_x264,no agreed theft time
Shoplifting043_x264,no agreed theft time
Shoplifting045_x264,no agreed theft time
