video_a,split_a,class_a,video_b,split_b,class_b,matched_frac_of_shorter,cross_split
Shoplifting014_x264,train,Shoplifting,Normal_Videos_042_x264,test,Normal,0.094,True
Shoplifting028_x264,test,Shoplifting,Shoplifting029_x264,test,Shoplifting,0.261,False
Shoplifting028_x264,test,Shoplifting,Shoplifting030_x264,train,Shoplifting,0.261,True
Shoplifting028_x264,test,Shoplifting,Normal_Videos020_x264,train,Normal,0.059,True
Shoplifting029_x264,test,Shoplifting,Shoplifting030_x264,train,Shoplifting,0.164,True
Shoplifting038_x264,train,Shoplifting,Normal_Videos_597_x264,test,Normal,0.187,True
Normal_Videos_006_x264,test,Normal,Normal_Videos_935_x264,test,Normal,0.2,False
Normal_Videos_015_x264,test,Normal,Normal_Videos013_x264,train,Normal,0.188,True
Normal_Videos_063_x264,test,Normal,Normal_Videos_876_x264,test,Normal,1.0,False
Normal_Videos_175_x264,test,Normal,Normal_Videos017_x264,train,Normal,0.069,True
Normal_Videos_439_x264,test,Normal,Normal_Videos_874_x264,test,Normal,1.0,False
Normal_Videos_439_x264,test,Normal,Normal_Videos_909_x264,test,Normal,0.067,False
Normal_Videos_866_x264,test,Normal,Normal_Videos_902_x264,test,Normal,0.051,False
Normal_Videos_887_x264,test,Normal,Normal_Videos_925_x264,test,Normal,0.176,False
Normal_Videos_903_x264,test,Normal,Normal_Videos_904_x264,test,Normal,0.889,False
Normal_Videos_903_x264,test,Normal,Normal_Videos_905_x264,test,Normal,0.926,False
Normal_Videos_903_x264,test,Normal,Normal_Videos_906_x264,test,Normal,0.261,False
Normal_Videos_904_x264,test,Normal,Normal_Videos_905_x264,test,Normal,0.935,False
Normal_Videos_904_x264,test,Normal,Normal_Videos_906_x264,test,Normal,0.522,False
Normal_Videos_904_x264,test,Normal,Normal_Videos_908_x264,test,Normal,0.133,False
Normal_Videos_906_x264,test,Normal,Normal_Videos_908_x264,test,Normal,0.957,False
Normal_Videos_907_x264,test,Normal,Normal_Videos_915_x264,test,Normal,0.952,False
Normal_Videos_911_x264,test,Normal,Normal_Videos_912_x264,test,Normal,0.8,False
Normal_Videos_936_x264,test,Normal,Normal_Videos_937_x264,test,Normal,1.0,False
